kinase	kinase_group	upregulated_set_hits	upregulated_set_size	downregulated_set_hits	downregulated_set_size	background_set_hits	background_set_size	upregulated_enrichment_value	upregulated_enrichment_value_log2	upregulated_p_value	upregulated_adjusted_p_value	upregulated_p_value_log10_abs	upregulated_adjusted_p_value_log10_abs	downregulated_enrichment_value	downregulated_enrichment_value_log2	downregulated_p_value	downregulated_adjusted_p_value	downregulated_p_value_log10_abs	downregulated_adjusted_p_value_log10_abs	dominant_direction	dominant_enrichment_value	dominant_enrichment_value_log2	dominant_p_value	dominant_adjusted_p_value	dominant_p_value_log10_abs	dominant_adjusted_p_value_log10_abs
TTBK1	CK1	14	169	5	35	939	11901	1.0499272170444451	0.07028932098808244	0.4664022866057049	0.9999999999943993	0.33123932905134595	2.4323713852674953e-12	1.8105887722501142	0.8564589131550583	0.13907958789248565	1.0000000000627258	0.856736604847311	2.7241479467302745e-11	downregulated set	0.5523065288631207	-0.8564589131550583	0.13907958789248565	1.0000000000627258	0.856736604847311	2.7241479467302745e-11
TTBK2	CK1	12	169	3	35	744	11901	1.1358083603741171	0.1837194361973772	0.3692812566389117	0.9999999999943993	0.4326427349833869	2.4323713852674953e-12	1.3710829493087557	0.45531585553459514	0.37636380705172096	1.0000000000627258	0.4243921470765432	2.7241479467302745e-11	downregulated set	0.729350474750021	-0.45531585553459514	0.37636380705172096	1.0000000000627258	0.4243921470765432	2.7241479467302745e-11
NUAK1	CAMK	6	169	0	35	327	11901	1.292112263177895	0.3697314218073263	0.3237672714187201	0.9999999999943993	0.4897670547816622	2.4323713852674953e-12	0.5199213630406291	-0.9436346595766123	0.9999999999785493	1.0000000000627258	9.315933707111275e-12	2.7241479467302745e-11	upregulated set	1.292112263177895	0.3697314218073263	0.3237672714187201	0.9999999999943993	0.4897670547816622	2.4323713852674953e-12
NUAK2	CAMK	6	169	0	35	261	11901	1.618853295245868	0.6949722507355242	0.17206240566256595	0.8146079518087107	0.7643140093751308	0.08905135485671296	0.6513957307060755	-0.6183938306484144	1.0000000000160674	1.0000000000627258	6.977969980670182e-12	2.7241479467302745e-11	upregulated set	1.618853295245868	0.6949722507355242	0.17206240566256595	0.8146079518087107	0.7643140093751308	0.08905135485671296
TAK1	TKL	6	169	1	35	1027	11901	0.411412570651579	-1.2813422190127863	0.9971403945914699	0.9999999999943993	0.0012436899292900714	2.4323713852674953e-12	0.3310891640005564	-1.5947083003967248	0.9574424360459004	1.0000000000627258	0.018887327499424213	2.7241479467302745e-11	upregulated set	0.411412570651579	-1.2813422190127863	0.9971403945914699	0.9999999999943993	0.0012436899292900714	2.4323713852674953e-12
NIM1	CAMK	13	169	3	35	612	11901	1.4958521870286576	0.5809676220326929	0.09957233798237491	0.5915768315423451	1.0018612954134276	0.22798884300905906	1.6668067226890757	0.7370868239499748	0.2686992852101016	1.0000000000627258	0.5707334888691072	2.7241479467302745e-11	downregulated set	0.5999495840685657	-0.7370868239499748	0.2686992852101016	1.0000000000627258	0.5707334888691072	2.7241479467302745e-11
CDK17	CMGC	20	169	3	35	836	11901	1.684691826392231	0.7524847093907319	0.016446572857237714	0.17797541341939382	1.7839245867264764	0.7496399895663906	1.2201982228298018	0.2871155345617438	0.4504036075975116	1.0000000000627258	0.34639813957452203	2.7241479467302745e-11	upregulated set	1.684691826392231	0.7524847093907319	0.016446572857237714	0.17797541341939382	1.7839245867264764	0.7496399895663906
PLK4	Other	7	169	3	35	766	11901	0.6435258856427767	-0.6359299132831003	0.9222144160402167	0.9999999999943993	0.03516809317952346	2.4323713852674953e-12	1.3317045878403582	0.4132740847176696	0.3942683994606962	1.0000000000627258	0.4042080301543085	2.7241479467302745e-11	downregulated set	0.7509172898635968	-0.4132740847176696	0.3942683994606962	1.0000000000627258	0.4042080301543085	2.7241479467302745e-11
SRPK2	CMGC	6	169	2	35	374	11901	1.1297345188747905	0.17598378741777213	0.4413558810645429	0.9999999999943993	0.35521108206664653	2.4323713852674953e-12	1.8183346065699006	0.8626177060338337	0.3025189638427367	1.0000000000627258	0.5192473957747805	2.7241479467302745e-11	downregulated set	0.5499537853961852	-0.8626177060338337	0.3025189638427367	1.0000000000627258	0.5192473957747805	2.7241479467302745e-11
CDK18	CMGC	21	169	3	35	856	11901	1.7275963612232486	0.7887661829618661	0.010886980772173475	0.13744813224869012	1.9630925440997435	0.8618611573090447	1.1916889185580775	0.2530076802414796	0.46612238223382646	1.0000000000627258	0.33150004264291094	2.7241479467302745e-11	upregulated set	1.7275963612232486	0.7887661829618661	0.010886980772173475	0.13744813224869012	1.9630925440997435	0.8618611573090447
PLK3	Other	5	169	1	35	603	11901	0.583914745797639	-0.77617035042847	0.9325699240519278	0.9999999999943993	0.030318594917243313	2.4323713852674953e-12	0.5638948116560056	-0.8265020259786147	0.8379999122075745	1.0000000000627258	0.07675602686825325	2.7241479467302745e-11	upregulated set	0.583914745797639	-0.77617035042847	0.9325699240519278	0.9999999999943993	0.030318594917243313	2.4323713852674953e-12
