kinase	kinase_group	upregulated_set_hits	upregulated_set_size	downregulated_set_hits	downregulated_set_size	background_set_hits	background_set_size	upregulated_enrichment_value	upregulated_enrichment_value_log2	upregulated_p_value	upregulated_adjusted_p_value	upregulated_p_value_log10_abs	upregulated_adjusted_p_value_log10_abs	downregulated_enrichment_value	downregulated_enrichment_value_log2	downregulated_p_value	downregulated_adjusted_p_value	downregulated_p_value_log10_abs	downregulated_adjusted_p_value_log10_abs	dominant_direction	dominant_enrichment_value	dominant_enrichment_value_log2	dominant_p_value	dominant_adjusted_p_value	dominant_p_value_log10_abs	dominant_adjusted_p_value_log10_abs
SRPK3	CMGC	7	169	1	35	371	11901	1.3286814781734957	0.4099952920210534	0.2791636773858531	0.9995223652790686	0.5541410894052137	0.00020748367831577996	0.9165190604543704	-0.12576321069933305	0.670369982035474	1.0000000000627258	0.17368544086976354	2.7241479467302745e-11	upregulated set	1.3286814781734957	0.4099952920210534	0.2791636773858531	0.9995223652790686	0.5541410894052137	0.00020748367831577996
CDK19	CMGC	18	169	3	35	1052	11901	1.2049069678493487	0.2689217587342625	0.24017567227594186	0.968232150709132	0.6194709849905208	0.014020500455984254	0.969663226507333	-0.044444322649675724	0.6087852664093433	1.0000000000627258	0.21553586674101494	2.7241479467302745e-11	upregulated set	1.2049069678493487	0.2689217587342625	0.24017567227594186	0.968232150709132	0.6194709849905208	0.014020500455984254
MEKK6	STE	10	169	1	35	822	11901	0.8566924372651492	-0.22315074221006811	0.7364098661734882	0.9999999999943993	0.13288040159659434	2.4323713852674953e-12	0.41366006256517207	-1.2734824177602124	0.9182606554896885	1.0000000000627258	0.03703402340355167	2.7241479467302745e-11	upregulated set	0.8566924372651492	-0.22315074221006811	0.7364098661734882	0.9999999999943993	0.13288040159659434	2.4323713852674953e-12
MEKK1	STE	7	169	1	35	638	11901	0.7726345272764371	-0.3721419451230128	0.805414537417582	0.9999999999943993	0.09398053581219994	2.4323713852674953e-12	0.5329601433049709	-0.9079004478433991	0.8546469464564974	1.0000000000627258	0.0682132547121167	2.7241479467302745e-11	upregulated set	0.7726345272764371	-0.3721419451230128	0.805414537417582	0.9999999999943993	0.09398053581219994	2.4323713852674953e-12
MEKK3	STE	6	169	0	35	507	11901	0.8333741815762753	-0.262963689697932	0.7296215347812429	0.9999999999943993	0.13690235628786002	2.4323713852674953e-12	0.3353338968723584	-1.5763297710818704	1.0000000000191729	1.0000000000627258	8.326678375367845e-12	2.7241479467302745e-11	upregulated set	0.8333741815762753	-0.262963689697932	0.7296215347812429	0.9999999999943993	0.13690235628786002	2.4323713852674953e-12
PLK2	Other	6	169	1	35	721	11901	0.5860204023012089	-0.7709772019354137	0.9459907668177493	0.9999999999943993	0.02411310243506865	2.4323713852674953e-12	0.47160689518525856	-1.0843432833193523	0.8877556940751122	1.0000000000627258	0.051706533447670316	2.7241479467302745e-11	upregulated set	0.5860204023012089	-0.7709772019354137	0.9459907668177493	0.9999999999943993	0.02411310243506865	2.4323713852674953e-12
MEKK2	STE	6	169	0	35	681	11901	0.6204415713056852	-0.6886327407066625	0.9245274632709949	0.9999999999943993	0.034080183509786824	2.4323713852674953e-12	0.24965387035871617	-2.001998822090601	0.9999999999815401	1.0000000000627258	8.017032826011405e-12	2.7241479467302745e-11	upregulated set	0.6204415713056852	-0.6886327407066625	0.9245274632709949	0.9999999999943993	0.034080183509786824	2.4323713852674953e-12
PLK1	Other	7	169	1	35	629	11901	0.7836897112915213	-0.3516455382374325	0.7937082809104494	0.9999999999943993	0.10033908859325247	2.4323713852674953e-12	0.5405859641153758	-0.8874040409578189	0.8505323390406844	1.0000000000627258	0.07030916894158044	2.7241479467302745e-11	upregulated set	0.7836897112915213	-0.3516455382374325	0.7937082809104494	0.9999999999943993	0.10033908859325247	2.4323713852674953e-12
QSK	CAMK	5	169	3	35	588	11901	0.5988105301292114	-0.7398285033647497	0.9231048212243932	0.9999999999943993	0.034748980778429875	2.4323713852674953e-12	1.7348396501457726	0.7948023218062621	0.24949551054615504	1.0000000000627258	0.6029372647202446	2.7241479467302745e-11	downregulated set	0.5764221493992101	-0.7948023218062621	0.24949551054615504	1.0000000000627258	0.6029372647202446	2.7241479467302745e-11
BRAF	TKL	10	169	3	35	898	11901	0.7841884002582992	-0.3507277932695322	0.8266622975484664	0.9999999999943993	0.08267186924296974	2.4323713852674953e-12	1.1359529112313076	0.1839030319014795	0.4985411478670917	1.0000000000627258	0.3022989907041337	2.7241479467302745e-11	downregulated set	0.8803181805450523	-0.1839030319014795	0.4985411478670917	1.0000000000627258	0.3022989907041337	2.7241479467302745e-11
